CreditSum;age;OrgStanding_N;kolichestvo_detej_mladshe_18;ConfirmedMonthlyIncome (Target)
500000.00;49;1.25;0;30691.36
708000.00;44;20.00;0;25712.07
665000.00;29;2.00;1;31081.26
458000.00;59;23.00;0;17848.79
969000.00;51;9.25;2;115380.53
35000.00;35;5.50;0;39578.97
701000.00;54;1.50;0;50052.42
710000.00;34;9.25;2;100050.00
240000.00;26;3.92;0;34000.58
120400.00;23;3.00;0;47266.04
700001.00;27;2.50;1;39166.10
710000.00;42;0.92;3;69600.00
574940.19;33;1.75;1;57006.23
277991.38;38;8.17;2;41293.85
50000.00;28;2.83;1;31417.00
481391.27;57;5.00;0;42661.73
500000.00;29;1.67;0;23160.85
172125.00;46;26.08;0;41897.84
103000.00;55;4.33;0;9763.15
539618.12;28;2.17;0;38253.44
300001.00;28;10.50;0;78040.85
444600.00;34;1.00;1;35976.05
646133.00;39;6.50;0;62559.67
31000.00;32;0.25;2;25000.00
1150000.00;45;13.00;0;40310.00
100000.00;47;20.00;0;41260.65
534607.38;51;17.83;0;28521.32
50000.00;37;15.00;1;41422.26
200000.00;47;4.17;0;25575.66
915990.00;37;4.00;3;43102.79
35000.00;25;0.42;0;27135.04
523543.01;25;1.50;0;24663.30
469482.04;22;2.50;0;32294.24
400000.00;30;3.50;0;36540.00
427336.44;51;30.00;0;31432.73
50000.00;42;22.00;2;30662.30
320000.00;50;1.92;0;30090.48
111458.00;24;3.00;0;24511.68
100000.00;36;4.00;2;38454.17
417515.12;23;3.92;1;38172.50
784002.00;35;13.00;2;69061.22
235662.17;33;7.42;0;12801.27
31000.00;33;11.00;0;28581.98
462000.00;36;6.08;4;79758.00
813304.66;40;3.75;0;48951.00
1100000.00;56;12.83;1;21646.09
35000.00;54;10.50;0;19375.00
155300.00;34;13.50;0;57189.99
750000.00;56;8.75;0;39150.00
102708.00;28;1.67;0;59009.55
368100.00;49;6.42;0;28305.00
800000.00;54;4.33;0;44997.65
585937.00;48;23.00;0;63487.05
103000.00;22;2.42;0;20976.13
162708.05;48;10.00;0;45513.93
161250.00;26;1.58;0;18002.66
1300000.00;51;28.92;0;71546.00
500000.00;24;0.25;0;25336.12
580000.00;38;7.50;2;25434.74
130000.00;43;5.00;0;22458.17
31000.00;47;9.42;1;107197.01
327875.00;38;15.00;1;213286.80
1216545.38;52;10.58;0;44225.00
600425.00;38;4.50;3;81747.43
300000.00;25;1.58;0;24123.98
1265916.69;29;4.17;2;32963.56
35000.00;23;0.42;0;26430.55
209523.71;45;4.00;1;17226.35
31000.00;30;1.58;0;64064.14
31000.00;46;6.50;0;28461.24
547013.00;61;9.00;0;38033.50
200000.00;27;3.25;1;32304.60
935000.00;32;8.00;1;40000.00
243638.29;44;24.00;1;46864.70
50000.00;35;2.17;1;30602.90
107500.00;45;3.50;0;9711.81
524700.00;42;14.00;1;36333.24
999900.00;52;8.00;0;141073.87
365902.99;52;24.00;1;91377.36
432688.00;39;8.00;1;44270.58
153000.00;53;7.08;1;105676.88
298357.14;34;1.17;0;94479.75
553737.35;35;12.08;3;58964.77
757080.00;32;4.50;2;95381.00
778800.00;28;5.50;0;34498.61
505000.00;27;1.33;1;70356.65
626000.00;40;2.00;1;56825.50
101000.00;39;14.00;0;43889.00
107083.00;62;1.00;0;29020.42
31000.00;24;1.50;0;35058.74
205000.00;46;3.50;0;18414.74
900000.00;35;11.17;2;38100.53
1591900.00;43;7.75;2;47743.47
50000.00;36;5.50;2;26289.57
551408.49;27;1.00;2;37232.87
701000.00;31;1.25;0;39139.41
701000.00;35;8.67;2;152639.50
659450.00;22;3.50;0;33196.05
564132.00;35;6.00;0;45040.98
369112.22;45;12.92;1;28219.32
107844.00;39;19.00;0;27628.19
31000.00;30;2.50;1;26419.09
505000.00;42;15.00;2;27973.88
500000.00;55;29.00;0;37044.40
50000.00;41;1.17;0;25828.42
220000.00;21;2.75;0;30210.67
31000.00;33;1.33;0;48977.23
31000.00;23;1.17;0;31903.40
100000.00;43;14.83;1;28615.00
40000.00;38;2.67;0;46791.00
504200.00;45;25.17;1;22449.85
945400.00;30;6.00;1;40917.75
710000.00;55;19.00;0;26194.19
31000.00;27;1.42;1;27815.20
585000.00;33;1.17;0;23677.69
35000.00;55;24.00;0;23630.67
31000.00;29;11.00;1;22683.83
535350.00;31;7.00;0;60604.59
50000.00;34;6.42;1;25992.70
361584.63;52;8.25;0;19718.34
1054893.97;50;1.25;0;60811.92
1000000.00;35;9.17;0;72259.79
823500.00;54;2.00;0;35983.08
576668.00;23;0.58;1;33311.16
1500000.00;39;13.33;0;89506.70
513000.00;48;0.50;0;29670.00
300000.00;31;2.67;0;65914.92
173912.70;35;5.08;2;37297.22
217500.00;22;1.42;0;21200.00
412000.00;40;3.25;1;42739.37
1362901.43;30;3.00;1;195264.17
1731046.87;34;3.75;2;91510.03
31000.00;35;10.00;1;41961.40
473502.00;33;6.17;2;27818.34
113990.00;62;5.00;0;15348.76
31000.00;42;2.25;1;31470.98
712000.00;50;10.00;0;28511.46
50000.00;48;15.00;0;34261.94
630000.00;35;2.50;2;69351.19
31000.00;29;10.00;1;35839.10
847000.00;54;29.00;0;32706.92
301606.14;48;4.00;1;51918.19
168750.00;46;1.33;0;20880.00
580363.24;30;12.00;0;32586.89
990000.00;37;10.17;2;43174.77
293200.00;44;12.08;1;27156.49
803700.00;50;29.00;1;42033.37
710000.00;53;33.00;0;53925.68
50000.00;41;22.00;1;35368.36
112500.00;32;8.00;1;42166.66
31000.00;28;2.00;0;54179.37
710000.00;33;9.42;2;56348.00
501714.00;39;12.00;2;45973.40
31000.00;25;3.08;1;22338.00
35000.00;32;0.25;1;31240.80
2016000.00;26;3.08;0;64833.34
50000.00;27;0.50;1;22129.38
150762.84;23;2.00;0;27772.13
31000.00;52;19.00;0;29457.90
31000.00;41;18.67;1;51650.73
268000.00;27;1.83;0;54114.50
60000.00;42;1.50;2;45000.00
1000000.00;32;5.50;1;213183.67
1505292.13;34;13.00;1;82951.39
232748.95;48;3.08;0;17636.35
50000.00;32;5.00;1;22611.41
100000.00;37;5.08;0;25886.51
31000.00;29;1.00;0;24044.68
508000.00;24;2.08;0;28905.83
35000.00;40;11.50;3;25632.11
31000.00;49;4.25;0;29837.99
100000.00;25;1.58;0;31177.07
508000.00;43;3.00;0;26945.32
588800.00;54;25.00;0;38507.59
102708.00;32;0.58;0;21607.94
461470.00;57;13.00;0;33714.18
135450.00;32;0.67;0;30015.00
