CreditSum;age;OrgStanding_N;kolichestvo_detej_mladshe_18;ConfirmedMonthlyIncome (Target)
0.31945;0.91363;-0.80124;-0.74595;-0.34684
0.99160;0.45602;1.45046;-0.74595;-0.53031
0.85265;-0.91678;-0.71117;0.45925;-0.33247
0.18372;1.82883;1.81073;-0.74595;-0.82003
1.83503;1.09667;0.15948;1.66445;2.77360
-1.18321;-0.36766;-0.29086;-0.74595;-0.01937
0.96898;1.37123;-0.77122;-0.74595;0.36653
0.99806;-0.45918;0.15948;1.66445;2.20874
-0.52075;-1.19134;-0.48100;-0.74595;-0.22491
-0.90724;-1.46590;-0.59108;-0.74595;0.26387
0.96575;-1.09982;-0.65113;0.45925;-0.03458
0.99806;0.27298;-0.84127;2.86965;1.08678
0.56162;-0.55070;-0.74120;0.45925;0.62275
-0.39798;-0.09310;0.02939;1.66445;0.04382
-1.13474;-1.00830;-0.61110;0.45925;-0.32010
0.25931;1.64579;-0.35090;-0.74595;0.09422
0.31945;-0.91678;-0.75120;-0.74595;-0.62431
-0.74009;0.63907;2.18101;-0.74595;0.06607
-0.96347;1.46275;-0.43096;-0.74595;-1.11796
0.44747;-1.00830;-0.69116;-0.74595;-0.06821
-0.32685;-1.00830;0.30960;-0.74595;1.39779
0.14042;-0.45918;-0.83126;0.45925;-0.15212
0.79168;-0.00158;-0.17076;-0.74595;0.82737
-1.19613;-0.64222;-0.92133;1.66445;-0.55654
2.41993;0.54755;0.60982;-0.74595;0.00757
-0.97316;0.73059;1.45046;-0.74595;0.04259
0.43128;1.09667;1.19026;-0.74595;-0.42680
-1.13474;-0.18462;0.85001;0.45925;0.04855
-0.65001;0.73059;-0.45098;-0.74595;-0.53533
1.66372;-0.18462;-0.47099;2.86965;0.11047
-1.18321;-1.28286;-0.90132;-0.74595;-0.47788
0.39553;-1.28286;-0.77122;-0.74595;-0.56895
0.22083;-1.55742;-0.65113;-0.74595;-0.28778
-0.00371;-0.82526;-0.53104;-0.74595;-0.13134
0.08463;1.09667;2.65137;-0.74595;-0.31952
-1.13474;0.27298;1.69064;1.66445;-0.34791
-0.26223;1.00515;-0.72118;-0.74595;-0.36898
-0.93613;-1.37438;-0.59108;-0.74595;-0.57454
-0.97316;-0.27614;-0.47099;1.66445;-0.06081
0.05289;-1.46590;-0.48100;0.45925;-0.07119
1.23720;-0.36766;0.60982;1.66445;1.06693
-0.53477;-0.55070;-0.06068;-0.74595;-1.00601
-1.19613;-0.55070;0.36964;-0.74595;-0.42456
0.19665;-0.27614;-0.22080;4.07485;1.46106
1.33189;0.08994;-0.50101;-0.74595;0.32595
2.25835;1.55427;0.58981;0.45925;-0.68012
-1.18321;1.37123;0.30960;-0.74595;-0.76380
-0.79446;-0.45918;0.66987;-0.74595;0.62952
1.12732;1.55427;0.09944;-0.74595;-0.03517
-0.96441;-1.00830;-0.75120;-0.74595;0.69657
-0.10679;0.91363;-0.18077;-0.74595;-0.43477
1.28890;1.37123;-0.43096;-0.74595;0.18029
0.59715;0.82211;1.81073;-0.74595;0.86154
-0.96347;-1.55742;-0.66113;-0.74595;-0.70481
-0.77052;0.82211;0.24955;-0.74595;0.19931
-0.77523;-1.19134;-0.76121;-0.74595;-0.81437
2.90466;1.09667;2.52127;-0.74595;1.15848
0.31945;-1.37438;-0.92133;-0.74595;-0.54416
0.57797;-0.09310;-0.05067;1.66445;-0.54052
-0.87621;0.36450;-0.35090;-0.74595;-0.65020
-1.19613;0.73059;0.17950;0.45925;2.47207
-0.23678;-0.09310;0.85001;0.45925;6.38104
2.63497;1.18819;0.31961;-0.74595;0.15182
0.64397;-0.09310;-0.41095;2.86965;1.53436
-0.32686;-1.28286;-0.76121;-0.74595;-0.58882
2.79452;-0.91678;-0.45098;1.66445;-0.26312
-1.18321;-1.46590;-0.90132;-0.74595;-0.50383
-0.61923;0.54755;-0.47099;0.45925;-0.84297
-1.19613;-0.82526;-0.76121;-0.74595;0.88281
-1.19613;0.63907;-0.17076;-0.74595;-0.42901
0.47137;2.01187;0.12946;-0.74595;-0.07631
-0.65001;-1.09982;-0.56106;0.45925;-0.28740
1.72515;-0.64222;0.00937;0.45925;-0.00386
-0.50899;0.45602;1.93082;0.45925;0.24908
-1.13474;-0.36766;-0.69116;0.45925;-0.35010
-0.94892;0.54755;-0.53104;-0.74595;-1.11985
0.39926;0.27298;0.72992;0.45925;-0.13896
1.93488;1.18819;0.00937;-0.74595;3.72029
-0.11389;1.18819;1.93082;0.45925;1.88919
0.10193;-0.00158;0.00937;0.45925;0.15350
-0.80189;1.27971;-0.10071;0.45925;2.41606
-0.33217;-0.45918;-0.81125;-0.74595;2.00350
0.49310;-0.36766;0.49974;2.86965;0.69492
1.15020;-0.64222;-0.41095;1.66445;2.03670
1.22039;-1.00830;-0.29086;-0.74595;-0.20656
0.33560;-1.09982;-0.79123;0.45925;1.11466
0.72662;0.08994;-0.71117;0.45925;0.61609
-0.96993;-0.00158;0.72992;-0.74595;0.13944
-0.95027;2.10339;-0.83126;-0.74595;-0.40841
-1.19613;-1.37438;-0.77122;-0.74595;-0.18592
-0.63385;0.63907;-0.53104;-0.74595;-0.79918
1.61205;-0.36766;0.38966;1.66445;-0.07384
3.84794;0.36450;-0.02065;1.66445;0.28146
-1.13474;-0.27614;-0.29086;1.66445;-0.50903
0.48557;-1.09982;-0.83126;1.66445;-0.10581
0.96898;-0.73374;-0.80124;-0.74595;-0.03556
0.96898;-0.36766;0.08943;1.66445;4.14644
0.83471;-1.55742;-0.53104;-0.74595;-0.25455
0.52669;-0.36766;-0.23081;-0.74595;0.18188
-0.10352;0.54755;0.59982;0.45925;-0.43792
-0.94781;-0.00158;1.33037;-0.74595;-0.45970
-1.19613;-0.82526;-0.65113;0.45925;-0.50426
0.33560;0.27298;0.85001;1.66445;-0.44697
0.31945;1.46275;2.53127;-0.74595;-0.11276
-1.13474;0.18146;-0.81125;-0.74595;-0.52602
-0.58538;-1.64894;-0.62110;-0.74595;-0.36455
-1.19613;-0.55070;-0.79123;-0.74595;0.32692
-1.19613;-1.46590;-0.81125;-0.74595;-0.30218
-0.97316;0.36450;0.82999;0.45925;-0.42334
-1.16705;-0.09310;-0.63111;-0.74595;0.24636
0.33302;0.54755;2.07093;0.45925;-0.65051
1.75876;-0.82526;-0.23081;0.45925;0.02996
0.99806;1.46275;1.33037;-0.74595;-0.51254
-1.19613;-1.09982;-0.78123;0.45925;-0.45281
0.59412;-0.55070;-0.81125;-0.74595;-0.60526
-1.18321;1.46275;1.93082;-0.74595;-0.60700
-1.19613;-0.91678;0.36964;0.45925;-0.64188
0.43368;-0.73374;-0.11072;-0.74595;0.75534
-1.13474;-0.45918;-0.18077;0.45925;-0.51997
-0.12785;1.18819;0.03939;-0.74595;-0.75115
2.11259;1.00515;-0.80124;-0.74595;0.76298
1.93520;-0.36766;0.14948;-0.74595;1.18478
1.36484;1.37123;-0.71117;-0.74595;-0.15186
0.56720;-1.46590;-0.88130;0.45925;-0.25031
3.55096;-0.00158;0.64985;-0.74595;1.82026
0.36146;0.82211;-0.89131;-0.74595;-0.38447
-0.32686;-0.73374;-0.63111;-0.74595;0.95100
-0.73431;-0.36766;-0.34089;1.66445;-0.10344
-0.59346;-1.55742;-0.78123;-0.74595;-0.69656
0.03507;0.08994;-0.56106;0.45925;0.09708
3.10792;-0.82526;-0.59108;0.45925;5.71698
4.29759;-0.45918;-0.50101;1.66445;1.89407
-1.19613;-0.36766;0.24955;0.45925;0.06841
0.23382;-0.55070;-0.21080;1.66445;-0.45270
-0.92795;2.10339;-0.35090;-0.74595;-0.91215
-1.19613;0.27298;-0.68115;0.45925;-0.31811
1.00453;1.00515;0.24955;-0.74595;-0.42716
-1.13474;0.82211;0.85001;-0.74595;-0.21528
0.73954;-0.36766;-0.65113;1.66445;1.07761
-1.19613;-0.91678;0.24955;0.45925;-0.15717
1.44078;1.37123;2.53127;-0.74595;-0.27257
-0.32167;0.82211;-0.47099;0.45925;0.43528
-0.75099;0.63907;-0.79123;-0.74595;-0.70835
0.57914;-0.82526;0.48973;-0.74595;-0.27700
1.90289;-0.18462;0.26957;1.66445;0.11312
-0.34883;0.45602;0.49974;0.45925;-0.47708
1.30086;1.00515;2.53127;0.45925;0.07107
0.99806;1.27971;3.01164;-0.74595;0.50925
-1.13474;0.18146;1.69064;0.45925;-0.17451
-0.93277;-0.64222;0.00937;0.45925;0.07598
-1.19613;-1.00830;-0.71117;-0.74595;0.51860
0.99806;-0.55070;0.17950;1.66445;0.59850
0.32498;-0.00158;0.48973;1.66445;0.21624
-1.19613;-1.28286;-0.58107;0.45925;-0.65463
-1.18321;-0.64222;-0.92133;0.45925;-0.32660
